Wave;Abs;bb
400;0.0066;0.000592115
401;0.00634;0.000585795
402;0.00608;0.000579561
403;0.00582;0.000573411
404;0.00556;0.000567343
405;0.0053;0.000561357
406;0.00518;0.00055545
407;0.00506;0.000549622
408;0.00494;0.000543872
409;0.00482;0.000538197
410;0.0047;0.000532598
411;0.00464;0.000527072
412;0.00458;0.000521619
413;0.00452;0.000516237
414;0.00446;0.000510925
415;0.0044;0.000505682
416;0.00442;0.000500507
417;0.00444;0.000495399
418;0.00446;0.000490357
419;0.00448;0.00048538
420;0.0045;0.000480467
421;0.00456;0.000475616
422;0.00462;0.000470827
423;0.00468;0.0004661
424;0.00474;0.000461432
425;0.0048;0.000456823
426;0.00482;0.000452272
427;0.00484;0.000447779
428;0.00486;0.000443341
429;0.00488;0.00043896
430;0.0049;0.000434633
431;0.00498;0.000430359
432;0.00506;0.000426139
433;0.00514;0.000421971
434;0.00522;0.000417854
435;0.0053;0.000413789
436;0.0055;0.000409772
437;0.0057;0.000405806
438;0.0059;0.000401887
439;0.0061;0.000398016
440;0.0063;0.000394192
441;0.00654;0.000390415
442;0.00678;0.000386683
443;0.00702;0.000382996
444;0.00726;0.000379354
445;0.0075;0.000375755
446;0.00784;0.000372199
447;0.00818;0.000368685
448;0.00852;0.000365214
449;0.00886;0.000361783
450;0.0092;0.000358393
451;0.00928;0.000355043
452;0.00936;0.000351732
453;0.00944;0.000348461
454;0.00952;0.000345227
455;0.0096;0.000342032
456;0.00964;0.000338874
457;0.00968;0.000335752
458;0.00972;0.000332666
459;0.00976;0.000329617
460;0.0098;0.000326602
461;0.00986;0.000323622
462;0.00992;0.000320677
463;0.00998;0.000317765
464;0.01004;0.000314886
465;0.0101;0.00031204
466;0.0102;0.000309227
467;0.0103;0.000306445
468;0.0104;0.000303695
469;0.0105;0.000300976
470;0.0106;0.000298288
471;0.01076;0.000295629
472;0.01092;0.000293001
473;0.01108;0.000290402
474;0.01124;0.000287832
475;0.0114;0.00028529
476;0.01166;0.000282777
477;0.01192;0.000280291
478;0.01218;0.000277833
479;0.01244;0.000275402
480;0.0127;0.000272998
481;0.01288;0.00027062
482;0.01306;0.000268269
483;0.01324;0.000265943
484;0.01342;0.000263642
485;0.0136;0.000261366
486;0.01388;0.000259115
487;0.01416;0.000256888
488;0.01444;0.000254686
489;0.01472;0.000252507
490;0.015;0.000250351
491;0.01546;0.000248219
492;0.01592;0.000246109
493;0.01638;0.000244022
494;0.01684;0.000241957
495;0.0173;0.000239914
496;0.01792;0.000237893
497;0.01854;0.000235893
498;0.01916;0.000233914
499;0.01978;0.000231956
500;0.0204;0.000230019
501;0.02144;0.000228102
502;0.02248;0.000226205
503;0.02352;0.000224327
504;0.02456;0.00022247
505;0.0256;0.000220631
506;0.02698;0.000218812
507;0.02836;0.000217011
508;0.02974;0.00021523
509;0.03112;0.000213466
510;0.0325;0.000211721
511;0.03392;0.000209993
512;0.03534;0.000208283
513;0.03676;0.000206591
514;0.03818;0.000204916
515;0.0396;0.000203258
516;0.03986;0.000201617
517;0.04012;0.000199992
518;0.04038;0.000198384
519;0.04064;0.000196792
520;0.0409;0.000195216
521;0.04106;0.000193656
522;0.04122;0.000192111
523;0.04138;0.000190582
524;0.04154;0.000189068
525;0.0417;0.000187569
526;0.04204;0.000186086
527;0.04238;0.000184617
528;0.04272;0.000183162
529;0.04306;0.000181722
530;0.0434;0.000180296
531;0.04376;0.000178884
532;0.04412;0.000177486
533;0.04448;0.000176101
534;0.04484;0.00017473
535;0.0452;0.000173373
536;0.04564;0.000172028
537;0.04608;0.000170697
538;0.04652;0.000169379
539;0.04696;0.000168073
540;0.0474;0.00016678
541;0.04814;0.0001655
542;0.04888;0.000164232
543;0.04962;0.000162976
544;0.05036;0.000161732
545;0.0511;0.000160499
